model,experiment,RMSE,MAE,R2,CV_mean,CV_std
Gradient Boosting,tuned,1201863.1830582875,933395.5593221191,0.9999286194937609,1900121.0028204196,368582.9465633534
Stacking Ensemble,ensemble,1490392.4067716897,884645.0250831979,0.9998902332466053,2529040.2155943518,453988.2518883453
Random Forest,tuned,1629088.91784619,698654.3744178158,0.9998688527648314,3116023.5952775604,391529.8890888924
XGBoost,tuned,2037616.5577654692,1261773.375,0.9997948408126831,4973547.35,621638.5220341802
Voting Ensemble,ensemble,2809013.8391546034,1721066.3008960958,0.9996100783781082,6483454.646735715,1809467.3711651943
CatBoost,tuned,5000181.70597082,3637953.0523366746,0.9987645045957219,16220004.303526005,3124999.101127792
LightGBM,tuned,5579875.055040822,2011826.6067633354,0.9984614255745807,12865142.25998033,4218869.693935108
Lasso,tuned,38882508.51237065,28520112.85756687,0.9252901073945126,39857235.45834805,3145868.6900716913
Linear Regression (Baseline),baseline,38882593.23290646,28520135.752840184,0.9252897818255476,39857293.847467594,3145865.6216511196
Linear Regression,tuned,38882593.2329068,28520135.75284004,0.9252897818255462,39857293.84746723,3145865.6216512034
XGBoost + PCA,pca_experiment,39613747.35762887,22935118.0,0.9224536418914795,49977096.8,5173949.418713654
ElasticNet,tuned,39721546.59281884,28215377.021086175,0.9220310186668648,59437508.54318665,5759923.86868632
Ridge,tuned,40002431.730151534,28026372.724262163,0.9209244272873123,39638779.04397698,3021473.4171171407
Gradient Boosting + PCA,pca_experiment,41603963.043685056,22850998.30947475,0.914465964121213,51035833.295788124,3963898.367135674
Random Forest + PCA,pca_experiment,55124071.512813576,28165943.98432836,0.8498407344098029,58918822.282253996,6473511.695956021
